lemma,freq,score
ползло,2,0.44046625
шурка,1,0.407926
ею,6,0.45690852
раздраженный,1,0.5167361
возненавидеть,1,0.41741723
приветливость,1,0.40049803
стерва,2,0.4252774
холодность,1,0.44756615
дрожу,1,0.41766107
поддразнить,1,0.434417
злобным,1,0.7000921
искрились,1,0.41238806
рассердиться,1,0.4559596
раскаяние,5,0.4410181
конфузливый,1,0.4164133
нетерпеливый,1,0.4169246
заплакать,6,0.43749696
сморщиться,2,0.46769413
бесчувствие,1,0.4606457
напряжённость,1,0.45071268
уныние,3,0.4437648
визжала,2,0.45383862
дрожали,2,0.4633264
передразнивать,1,0.44500756
горячка,1,0.40108106
усмешка,3,0.48021924
враждебность,1,0.4262373
краснота,1,0.4297186
терзаться,1,0.45301378
безумный,7,0.40445608
хрипеть,1,0.40506062
съёжиться,1,0.42416373
выпалить,1,0.42890543
неутоленности,1,0.42774817
наливалось,1,0.4052541
разлились,1,0.43237484
высокомерие,1,0.52292806
ехидничать,1,0.45991242
смущение,1,0.44893044
алость,1,0.6429399
хохот,2,0.42024425
усмехнуться,2,0.4048228
обидный,4,0.42327553
сладострастие,1,0.43664187
раздражение,2,0.52527046
подлый,1,0.4369892
пошлость,4,0.49690416
слеза,17,0.4006199
томившееся,1,0.40063396
сердиться,1,0.45330712
распухнуть,1,0.42334777
честность,1,0.40525198
лукавство,1,0.5338082
усталость,2,0.49649638
задрожать,5,0.42573798
отмстить,2,0.42317975
запавших,1,0.40206313
неутолимый,2,0.47359568
удовольствие,6,0.40258256
припухнуть,1,0.41585535
отвратительно,1,0.43562096
разнузданность,1,0.4594508
ирония,3,0.40929544
стиснуть,3,0.43316054
нескладность,1,0.42208725
нюни,1,0.4064649
печаль,3,0.42734995
неутолённый,1,0.46368352
закатившиеся,1,0.4275229
стуколку,1,0.4008745
ожечь,1,0.42269504
оскорбленное,1,0.45268348
искренность,1,0.43442696
шипеть,1,0.41042697
горе,7,0.43497577
жалость,1,0.6111654
злобный,2,0.62323576
